round,stage,heterogeneity,norm_mean,norm_median,mean_vector_norm,norm_client_0,norm_client_1,norm_client_2,norm_client_3,norm_client_4,norm_client_5,norm_client_6,norm_client_7,norm_client_8,norm_client_9,cosine_mean,cosine_median,cosine_valid_pairs
15,clipped_gradient,11.569108009338379,3.4820973873138428,3.444064140319824,0.9410269856452942,2.7439005374908447,2.596308469772339,3.762118101119995,3.335944414138794,3.3345155715942383,3.5521836280822754,4.387419700622559,3.0952646732330322,4.407144546508789,3.6061742305755615,-0.0408286489546299,-0.0491364412009716,45
15,client_update,6.550914287567139,2.5772671699523926,2.5238394737243652,0.5293896794319153,2.037724733352661,1.9396570920944214,2.6499853134155273,2.4146008491516113,2.4583184719085693,2.5893607139587402,3.2552273273468018,2.32716703414917,3.3462860584259033,2.7543437480926514,-0.07394289970397949,-0.07209204137325287,45
20,raw_gradient,37.46616744995117,6.348682880401611,5.775272846221924,2.2367095947265625,7.329665184020996,4.913960933685303,6.628182888031006,5.81172513961792,4.93208122253418,5.270944118499756,8.628238677978516,5.075839519500732,9.157369613647461,5.738820552825928,-0.0008287072414532304,-0.02859780751168728,45
20,clipped_gradient,11.899388313293457,3.609894275665283,3.537350654602051,1.2126866579055786,2.937025785446167,2.742410182952881,3.825450897216797,3.4507334232330322,3.4045093059539795,3.6239678859710693,4.591812610626221,3.225538730621338,4.5814924240112305,3.71600079536438,-0.0008287111995741725,-0.028597811236977577,45
20,client_update,8.087491035461426,2.8937644958496094,2.8220109939575195,0.7281336784362793,2.3245017528533936,2.1836516857147217,3.0490214824676514,2.7202630043029785,2.6790428161621094,2.9237587451934814,3.6973674297332764,2.5611979961395264,3.7463176250457764,3.0525240898132324,-0.05479034036397934,-0.06510332971811295,45
25,raw_gradient,42.05669021606445,6.655478000640869,6.628650665283203,1.7122220993041992,6.827777862548828,5.009122848510742,6.321784019470215,5.909060001373291,6.45574426651001,6.888167381286621,8.177929878234863,6.613444805145264,7.707895755767822,6.643856525421143,-0.049259066581726074,-0.05720128118991852,45
25,clipped_gradient,13.4906005859375,3.759988784790039,3.646104574203491,1.0131851434707642,3.1206047534942627,2.8914616107940674,3.948761463165283,3.5601370334625244,3.4957902431488037,3.732072114944458,4.799970626831055,3.3316731452941895,4.861020088195801,3.858398675918579,-0.04925905913114548,-0.05720127373933792,45
25,client_update,9.613677024841309,3.1627585887908936,3.073058605194092,0.8247875571250916,2.5659546852111816,2.3945884704589844,3.3306562900543213,2.9677929878234863,2.9251179695129395,3.178323984146118,4.062373161315918,2.7986741065979004,4.099778652191162,3.304326295852661,-0.052426550537347794,-0.058470677584409714,45
30,raw_gradient,62.75747299194336,8.111074447631836,8.309356689453125,2.3425300121307373,8.480522155761719,5.30251932144165,8.138190269470215,8.729775428771973,5.714568614959717,7.098471641540527,9.806771278381348,8.014336585998535,9.921359062194824,9.904227256774902,-0.03099864348769188,-0.046525467187166214,45
30,clipped_gradient,14.439932823181152,3.9250106811523438,3.7596707344055176,1.1725267171859741,3.287672996520996,3.0219573974609375,4.082737445831299,3.6922385692596436,3.6585693359375,3.8271028995513916,4.968914985656738,3.5162360668182373,5.120884895324707,4.073791027069092,-0.03099864348769188,-0.04652545601129532,45
